symbol,series,date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover,no_of_trades,deliverable_qty,dly_qt_to_traded_qty,daily_return_%,price_range,delivery_ratio_%,month,quarter,year
HDFCBANK,EQ,2019-07-01,2443.75,2456.0,2489.0,2450.05,2486.0,2485.55,2476.08,2131040,5276621766.5,110592,1257676,59.02,1.7105,38.95,59.02,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-02,2485.55,2488.0,2497.5,2467.2,2491.15,2495.0,2484.49,1811707,4501164669.35,89307,871145,48.08,0.3802,30.3,48.08,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-03,2495.0,2499.0,2503.3,2483.0,2488.3,2489.65,2496.5,1865814,4658013683.8,74725,995571,53.36,-0.2144,20.3,53.36,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-04,2489.65,2494.8,2497.9,2472.0,2482.85,2483.8,2484.12,1998491,4964492340.75,81894,988000,49.44,-0.235,25.9,49.44,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-05,2483.8,2485.1,2494.95,2460.0,2469.0,2472.4,2478.09,1895765,4697867401.7,72714,995517,52.51,-0.459,34.95,52.51,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-08,2472.4,2474.55,2474.6,2397.05,2412.7,2409.6,2424.02,3651785,8852011714.3,148208,2375576,65.05,-2.54,77.55,65.05,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-09,2409.6,2403.85,2410.8,2373.0,2377.65,2379.15,2386.59,4120672,9834335423.85,184776,2722625,66.07,-1.2637,37.8,66.07,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-10,2379.15,2378.75,2398.0,2366.25,2391.2,2388.75,2385.87,2892287,6900612679.5,166981,1816180,62.79,0.4035,31.75,62.79,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-11,2388.75,2403.0,2414.0,2395.65,2403.75,2407.15,2406.53,2274399,5473418839.5,135487,1355852,59.61,0.7703,18.35,59.61,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-12,2407.15,2418.0,2418.0,2385.05,2390.0,2393.9,2398.71,2244068,5382858844.7,119705,1313824,58.55,-0.5504,32.95,58.55,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-15,2393.9,2396.0,2403.0,2377.35,2398.0,2394.75,2389.62,2058296,4918539139.35,98607,1404876,68.25,0.0355,25.65,68.25,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-16,2394.75,2418.0,2418.0,2382.0,2393.0,2391.2,2396.89,3192642,7652397496.8,131505,1920698,60.16,-0.1482,36.0,60.16,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-17,2391.2,2392.95,2411.6,2391.3,2401.9,2397.45,2402.1,1939934,4659913060.3,67598,1115864,57.52,0.2614,20.3,57.52,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-18,2397.45,2403.0,2429.0,2401.9,2414.75,2411.9,2417.18,2700646,6527943531.55,95138,1314150,48.66,0.6027,27.1,48.66,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-19,2411.9,2415.0,2420.7,2367.0,2379.5,2375.65,2387.87,2234807,5336417925.7,139292,1221721,54.67,-1.503,53.7,54.67,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-22,2375.65,2345.0,2349.85,2281.25,2302.8,2297.25,2302.41,5542824,12761828597.4,239328,3160780,57.02,-3.3001,68.6,57.02,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-23,2297.25,2294.5,2294.5,2242.05,2265.5,2263.5,2261.89,6950716,15721729608.75,237644,4401966,63.33,-1.4691,52.45,63.33,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-24,2263.5,2256.75,2293.0,2251.0,2284.0,2280.9,2276.22,4340935,9880903017.85,221845,2590720,59.68,0.7687,42.0,59.68,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-25,2280.9,2285.0,2315.45,2280.25,2291.0,2286.05,2297.27,4865502,11177378388.25,187329,2945122,60.53,0.2258,35.2,60.53,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-26,2286.05,2278.2,2293.65,2272.85,2276.0,2277.3,2284.17,3207457,7326392886.65,154124,2019112,62.95,-0.3828,20.8,62.95,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-29,2277.3,2273.55,2273.55,2223.05,2249.3,2244.3,2246.77,2494123,5603718444.6,128559,1475389,59.15,-1.4491,50.5,59.15,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-30,2244.3,2255.0,2271.2,2239.9,2254.8,2252.25,2255.35,2598534,5860605363.45,122826,1628613,62.67,0.3542,31.3,62.67,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-07-31,2252.25,2240.0,2267.0,2234.25,2249.6,2251.65,2249.21,3472960,7811405394.7,158165,2516586,72.46,-0.0266,32.75,72.46,2019-07,2019Q3,2019
HDFCBANK,EQ,2019-08-01,2251.65,2229.1,2240.0,2197.0,2225.0,2221.8,2220.25,4560419,10125273727.7,143216,3007966,65.96,-1.3257,43.0,65.96,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-02,2221.8,2211.0,2224.0,2182.0,2220.0,2214.35,2201.32,6956384,15313215817.3,177396,4270484,61.39,-0.3353,42.0,61.39,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-05,2214.35,2197.05,2200.0,2162.5,2174.6,2179.25,2177.33,4955610,10789981549.25,208438,3086735,62.29,-1.5851,37.5,62.29,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-06,2179.25,2167.0,2210.25,2167.0,2183.0,2189.1,2186.84,6222735,13608136578.75,208507,4156077,66.79,0.452,43.25,66.79,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-07,2189.1,2190.0,2202.0,2165.0,2180.0,2184.0,2188.35,4687534,10257984618.5,160175,3209697,68.47,-0.233,37.0,68.47,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-08,2184.0,2198.0,2243.0,2183.0,2239.8,2233.15,2212.99,4927900,10905417010.45,192860,3233599,65.62,2.2505,60.0,65.62,2019-08,2019Q3,2019
